sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0295;9.8078;0.565;-1.1868;9.7306;0.278;0.5865;0.1191;0.3032;0.0205;-0.0221;-0.0597;22.0;682.8;-240.1;1024.5;289.03;-82.86;76.82;;34.234;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;33;2014-11-08 13:50:45:575
-1.1923;9.3733;0.9708;-1.3697;9.7076;0.237;-0.0022;0.3576;0.5231;0.028;-0.0434;-0.2107;25.0;682.9;-240.1;1024.5;291.68;-83.04;79.41;;69.963;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;547;2014-11-08 13:50:46:089
-0.428;9.6744;0.9104;-1.3876;9.7038;0.2858;-0.5296;0.398;0.6024;0.0258;0.0719;-0.1987;22.0;683.3;-240.1;1023.7;287.41;-82.55;75.24;;67.99;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;1051;2014-11-08 13:50:46:593
-0.3879;10.0443;0.4519;-1.4115;9.6912;0.5084;-0.5189;0.3716;0.4966;-0.1244;-0.0391;0.0975;22.0;681.1;-240.1;1022.8;282.01;-81.2;70.19;;68.48;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;1581;2014-11-08 13:50:47:123
0.2286;8.855;1.7687;-1.2097;9.7;0.785;1.4383;-0.8451;0.9837;-0.1553;0.2061;0.265;22.0;683.9;-240.1;1021.6;269.16;-81.54;57.02;;69.999;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;2092;2014-11-08 13:50:47:634
17.4573;4.2725;3.4542;2.526;9.3775;1.3612;14.9313;-5.105;2.093;-0.6762;-0.5175;1.1678;21.0;675.0;-245.0;1018.0;248.1;-82.34;35.62;;55.121;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;2631;2014-11-08 13:50:48:173
-2.4325;10.3711;0.5435;-0.4574;9.7789;0.5789;-1.9751;0.5922;-0.0354;-0.3587;-0.0842;0.3747;23.0;683.7;-240.8;1023.8;174.75;-85.59;-39.05;;69.752;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3161;2014-11-08 13:50:48:703
0.1239;9.8809;1.2049;-1.0276;9.7495;0.2501;1.1515;0.1314;0.9548;-0.0035;0.1995;0.2053;25.0;682.1;-241.3;1026.8;293.54;-82.98;81.37;;62.405;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3681;2014-11-08 13:50:49:223
2.1213;7.999;2.8593;-0.2727;9.7317;1.1794;-3.0271;0.151;-0.7391;-0.0908;-0.0442;0.5081;25.0;681.1;-241.3;1026.8;288.53;-83.68;76.26;;49.403;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4201;2014-11-08 13:50:49:743
-1.163;8.8675;0.2747;-1.5938;9.6757;-0.107;0.3774;-0.8173;0.3243;0.0376;-0.3949;-0.1513;25.0;683.5;-239.7;1027.2;305.65;-80.63;93.84;;64.053;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4742;2014-11-08 13:50:50:284
-1.0546;9.7067;0.2616;-1.4948;9.6918;-0.0755;0.4401;0.0149;0.337;0.0397;0.172;0.0439;26.0;684.4;-239.7;1024.2;304.91;-81.22;92.89;;35.055;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;5283;2014-11-08 13:50:50:825
-1.2881;9.2015;0.7985;-2.72;9.3023;1.4962;1.6976;-0.6814;-0.6121;-0.289;-1.2725;-0.7151;25.0;688.0;-235.8;1012.7;284.3;-82.42;72.12;;32.882;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;5787;2014-11-08 13:50:51:329
-3.2352;6.9875;6.2884;-3.4842;7.5546;5.1922;2.271;1.2585;-0.706;0.1031;-0.1015;0.2051;27.0;684.0;-224.2;993.4;246.63;-50.39;33.86;;69.448;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;6306;2014-11-08 13:50:51:848
-1.7699;8.2055;4.7489;-3.1176;7.7735;5.1014;1.3477;0.4321;-0.3525;0.1201;-0.1808;-0.0863;26.0;681.0;-223.8;992.6;244.71;-51.99;31.74;;37.944;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;6846;2014-11-08 13:50:52:388
-2.0399;8.0397;4.6483;-3.1359;7.7821;5.077;1.096;0.2576;-0.4286;0.0413;0.1057;0.0969;23.0;679.5;-224.2;992.6;244.81;-52.05;31.95;;63.616;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;7404;2014-11-08 13:50:52:946
-1.916;7.3167;4.2306;-3.2987;7.7401;5.0379;1.0356;-0.178;0.7112;0.1547;-0.1166;-0.0589;25.0;679.4;-224.2;991.4;245.84;-52.12;33.22;;62.739;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;7922;2014-11-08 13:50:53:464
-3.7409;7.6926;5.0536;-4.0238;7.4431;4.9577;0.2829;0.2494;0.0959;0.0993;-0.1486;-0.4189;34.0;677.5;-223.0;990.6;248.02;-50.23;35.78;;29.073;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;8462;2014-11-08 13:50:54:004
-4.2282;10.7727;7.5513;-4.4191;7.3027;4.8282;0.191;3.47;2.7231;-1.5886;6.1452;2.1436;46.0;677.4;-221.8;989.8;249.31;-50.04;37.4;;67.901;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;9030;2014-11-08 13:50:54:572
2.2643;8.5186;2.2224;2.779;9.2224;1.8428;-0.5146;-0.7038;0.3796;0.4189;0.3744;-0.281;22.0;661.3;-248.0;1029.7;156.57;-70.12;-56.45;;68.559;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;9574;2014-11-08 13:50:55:116
3.7888;8.8837;3.3986;2.7164;9.3208;1.3837;-1.0926;-0.1731;0.3677;0.2698;-0.0834;-0.2471;22.0;661.6;-248.0;1031.8;150.24;-71.89;-63.01;;67.482;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;10102;2014-11-08 13:50:55:644
6.3021;7.9236;3.6212;2.6818;9.3901;0.8969;0.9131;3.271;-5.5799;-0.7348;-0.4775;-0.6551;23.0;665.7;-248.0;1031.0;142.23;-73.24;-71.51;;64.268;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 16;98.8;57.0;3.912;10604;2014-11-08 13:50:56:146
2.9102;9.1303;-0.3909;2.8005;9.3618;0.8268;0.1096;-0.2315;-1.2176;0.3587;0.7364;0.0538;25.0;667.4;-248.4;1027.9;151.26;-72.91;-62.3;;68.65;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 16;98.8;57.0;3.912;11137;2014-11-08 13:50:56:679
3.0783;9.6367;1.5125;2.9929;9.306;0.7814;0.0855;0.3306;0.7311;-0.0828;-0.0059;-0.2557;25.0;663.8;-247.2;1032.9;138.35;-71.61;-75.37;;67.986;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;11678;2014-11-08 13:50:57:220
2.8323;9.8138;-0.4645;2.5056;9.4449;0.8286;0.3267;0.369;-1.2931;0.3417;0.0373;0.0485;25.0;667.3;-247.6;1030.8;148.03;-73.42;-65.55;;54.625;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;12221;2014-11-08 13:50:57:763
0.8529;9.4344;1.1576;2.1817;9.5329;0.7307;-1.3287;-0.0986;0.4269;0.1228;0.1425;0.0812;25.0;668.3;-247.2;1031.3;142.34;-76.43;-71.48;;71.556;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;12758;2014-11-08 13:50:58:300
3.9403;8.8035;1.5909;1.6192;9.6677;0.289;2.3211;-0.8643;1.302;-0.1606;-3.469;-0.5561;26.0;672.1;-246.8;1031.8;139.55;-78.92;-74.43;;70.771;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;13275;2014-11-08 13:50:58:817
-2.4834;10.1957;-1.5568;-2.3246;9.4768;-0.9786;0.1789;0.0645;-0.0209;-0.4248;0.094;-0.0463;28.0;683.8;-236.5;1022.4;324.02;-75.1;112.83;;67.051;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;13788;2014-11-08 13:50:59:330
-2.7857;9.5271;-0.5423;-3.1608;9.2213;-1.0713;0.3752;0.3059;0.529;0.1244;-0.2077;-0.0887;29.0;691.1;-232.8;1023.2;318.52;-70.1;108.72;;61.089;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;14305;2014-11-08 13:50:59:847
-2.2697;9.5187;-2.545;-2.5248;9.2669;-1.9801;0.6017;0.2267;-0.5207;0.0136;-0.1614;-0.1068;31.0;689.4;-234.6;1021.7;335.95;-70.87;124.6;;63.777;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 16;98.8;57.0;3.912;14813;2014-11-08 13:51:00:355
-2.5127;9.314;-1.066;-2.5141;9.3818;-1.3532;0.0014;-0.0678;0.2871;-0.1499;0.4282;-0.1473;31.0;690.0;-235.0;1020.0;329.65;-73.07;118.29;;53.121;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 16;98.8;57.0;3.912;15338;2014-11-08 13:51:00:880
-3.7469;10.507;-1.6652;-2.8863;9.3722;0.0391;-0.8606;1.1348;-1.7043;-0.2767;-1.7854;-0.5774;30.0;689.0;-235.4;1020.6;322.38;-76.22;110.78;;50.322;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 17;98.8;57.0;3.912;15855;2014-11-08 13:51:01:397
-2.6432;7.3316;4.4143;-2.8356;7.6062;5.5023;1.3697;-0.8189;1.259;-0.1324;0.3832;-0.016;45.0;674.0;-221.7;987.9;241.05;-50.86;27.26;;51.387;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 17;98.8;57.0;3.912;16355;2014-11-08 13:51:01:897
-1.8938;8.2696;4.6358;-2.7019;8.5469;3.9776;1.0936;0.0564;0.0447;-0.0168;0.3172;0.1052;24.0;682.4;-226.2;995.2;246.29;-58.98;34.17;;65.955;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 17;98.8;57.0;3.912;16855;2014-11-08 13:51:02:397
-2.0554;8.1187;4.5669;-2.6141;8.6268;3.8621;0.5586;-0.508;0.7049;-0.1158;-0.2048;-0.2581;23.0;683.7;-227.9;997.3;246.42;-62.1;34.4;;66.889;19.519749;-96.915634;4348.39;0.0;38.709675;8 / 17;98.8;57.0;3.912;17374;2014-11-08 13:51:02:916
-2.3457;8.4892;4.0935;-2.7676;8.6851;3.6165;0.4219;-0.1959;0.477;0.0407;-0.1696;-0.1063;16.0;684.4;-227.9;998.1;249.07;-62.33;37.43;;47.925;19.519749;-96.915634;4348.39;0.0;38.709675;9 / 17;98.8;57.0;3.912;17906;2014-11-08 13:51:03:448